"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20090223","125.16","128.1","123.45","127.78","125.08","2.7","2.16","19442.78","245915.638"
"600519.SH","20090220","121.99","127.28","121.99","125.08","121.88","3.2","2.63","33924.22","424596.429"
"600519.SH","20090219","120.5","123.9","120.5","121.88","121.36","0.52","0.43","24677.79","300896.281"
"600519.SH","20090218","124","126","120.88","121.36","126.11","-4.75","-3.77","45581.28","566412.062"
"600519.SH","20090217","123.8","129.94","123.8","126.11","122.7","3.41","2.78","56525.41","719184.147"
"600519.SH","20090216","123.45","125.3","121.1","122.7","122.42","0.28","0.23","27256.48","334068.266"
"600519.SH","20090213","120.1","123","120.01","122.42","120.53","1.89","1.57","24920.19","301643.451"
"600519.SH","20090212","120","121.5","118.51","120.53","120.09","0.44","0.37","54470.34","653107.948"
"600519.SH","20090211","114.98","125.55","114","120.09","115.97","4.12","3.55","40386.56","478088.769"
"600519.SH","20090210","116.5","116.5","114","115.97","116.8","-0.83","-0.71","27613.49","317723.285"
"600519.SH","20090209","112.49","117","112.49","116.8","111.21","5.59","5.03","45435.59","521391.758"
"600519.SH","20090206","107.02","111.99","107.02","111.21","107.04","4.17","3.9","39661.41","433677.718"
"600519.SH","20090205","106.65","110.6","106","107.04","106.28","0.76","0.72","38231.58","412164.202"
"600519.SH","20090204","104.2","107.28","104.2","106.28","104.1","2.18","2.09","42878.9","454067.228"
"600519.SH","20090203","101.39","104.49","100.07","104.1","101.32","2.78","2.74","48126.65","497248.868"
"600519.SH","20090202","104.49","104.49","100","101.32","103.2","-1.88","-1.82","30887.26","312618.479"
"600519.SH","20090123","100.5","104.31","100.5","103.2","100.8","2.4","2.38","32742.52","336252.633"
"600519.SH","20090122","100","101.2","99.9","100.8","99.72","1.08","1.08","21293.44","214057.665"
"600519.SH","20090121","100","100.97","99","99.72","101.6","-1.88","-1.85","60526.48","605392.794"
